time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.radiation_type,.field_of_view,.min_range,.max_range,.range
2020/05/26/19:42:01.202254,1,1590522120,922234058,sonar,0,0.0,0.0,6.41599988937,4.36100006104
2020/05/26/19:42:01.494251,2,1590522121,202016592,sonar,0,0.0,0.0,6.50899982452,4.42299985886
2020/05/26/19:42:01.775661,3,1590522121,495664596,sonar,0,0.0,0.0,6.60200023651,4.48600006104
2020/05/26/19:42:02.061229,4,1590522121,775779724,sonar,0,0.0,0.0,6.69600009918,4.54899978638
2020/05/26/19:42:02.346123,5,1590522122,61002492,sonar,0,0.0,0.0,6.78900003433,4.51800012589
2020/05/26/19:42:02.639167,6,1590522122,346144676,sonar,0,0.0,0.0,6.74300003052,4.52899980545
2020/05/26/19:42:02.919194,7,1590522122,638124465,sonar,0,0.0,0.0,6.76000022888,4.53999996185
2020/05/26/19:42:03.213294,8,1590522122,918740987,sonar,0,0.0,0.0,6.77600002289,4.55100011826
2020/05/26/19:42:03.490219,9,1590522123,212284564,sonar,0,0.0,0.0,6.79199981689,4.53000020981
2020/05/26/19:42:03.782288,10,1590522123,490686893,sonar,0,0.0,0.0,6.76200008392,4.53499984741
2020/05/26/19:42:04.072474,11,1590522123,782006025,sonar,0,0.0,0.0,6.76800012589,4.49499988556
2020/05/26/19:42:04.362917,12,1590522124,72546482,sonar,0,0.0,0.0,6.71000003815,4.49300003052
2020/05/26/19:42:04.637266,13,1590522124,362998962,sonar,0,0.0,0.0,6.70599985123,4.49100017548
2020/05/26/19:42:04.930644,14,1590522124,637404203,sonar,0,0.0,0.0,6.70300006866,4.35599994659
2020/05/26/19:42:05.217138,15,1590522124,929793834,sonar,0,0.0,0.0,6.50199985504,0.0
2020/05/26/19:42:05.494912,16,1590522125,216590166,sonar,0,0.0,0.0,0.913999974728,0.0
2020/05/26/19:42:05.772373,17,1590522125,494482755,sonar,0,0.0,0.0,0.913999974728,0.0
2020/05/26/19:42:06.059900,18,1590522125,771969318,sonar,0,0.0,0.0,0.913999974728,0.657999992371
2020/05/26/19:42:06.338141,19,1590522126,59375524,sonar,0,0.0,0.0,0.981999993324,0.145999997854
2020/05/26/19:42:06.627512,20,1590522126,337722301,sonar,0,0.0,0.0,0.913999974728,0.221000000834
2020/05/26/19:42:06.898793,21,1590522126,627806663,sonar,0,0.0,0.0,0.913999974728,0.699999988079
2020/05/26/19:42:07.178275,22,1590522126,898208856,sonar,0,0.0,0.0,1.04499995708,0.704999983311
2020/05/26/19:42:07.463480,23,1590522127,177705764,sonar,0,0.0,0.0,1.0529999733,0.709999978542
2020/05/26/19:42:07.741763,24,1590522127,463614463,sonar,0,0.0,0.0,1.05999994278,0.714999973774
2020/05/26/19:42:08.019738,25,1590522127,741208553,sonar,0,0.0,0.0,1.06799995899,0.65499997139
2020/05/26/19:42:08.301316,26,1590522128,19896745,sonar,0,0.0,0.0,0.977999985218,0.688000023365
2020/05/26/19:42:08.580738,27,1590522128,300753116,sonar,0,0.0,0.0,1.02600002289,0.72000002861
2020/05/26/19:42:08.867482,28,1590522128,580137252,sonar,0,0.0,0.0,1.07400000095,0.751999974251
2020/05/26/19:42:09.142372,29,1590522128,866658210,sonar,0,0.0,0.0,1.12199997902,0.762000024319
2020/05/26/19:42:09.417738,30,1590522129,142443180,sonar,0,0.0,0.0,1.13800001144,0.778999984264
2020/05/26/19:42:09.702738,31,1590522129,417870998,sonar,0,0.0,0.0,1.1629999876,0.782000005245
2020/05/26/19:42:09.977917,32,1590522129,702199220,sonar,0,0.0,0.0,1.16799998283,0.782000005245
2020/05/26/19:42:10.259575,33,1590522129,977997541,sonar,0,0.0,0.0,1.16700005531,0.787000000477
2020/05/26/19:42:10.540825,34,1590522130,259377956,sonar,0,0.0,0.0,1.1740000248,0.791000008583
2020/05/26/19:42:10.823042,35,1590522130,541051626,sonar,0,0.0,0.0,1.18099999428,0.796000003815
2020/05/26/19:42:11.101363,36,1590522130,823192834,sonar,0,0.0,0.0,1.18799996376,0.800999999046
2020/05/26/19:42:11.377497,37,1590522131,100882530,sonar,0,0.0,0.0,1.19500005245,0.809000015259
2020/05/26/19:42:11.656294,38,1590522131,377016305,sonar,0,0.0,0.0,1.20700001717,0.81400001049
2020/05/26/19:42:11.937704,39,1590522131,655921936,sonar,0,0.0,0.0,1.2159999609,0.813000023365
2020/05/26/19:42:12.217685,40,1590522131,937927722,sonar,0,0.0,0.0,1.21300005913,0.813000023365
2020/05/26/19:42:12.510786,41,1590522132,217604398,sonar,0,0.0,0.0,1.21300005913,0.776000022888
2020/05/26/19:42:12.773539,42,1590522132,510808229,sonar,0,0.0,0.0,1.15799999237,0.791000008583
2020/05/26/19:42:13.059329,43,1590522132,774018049,sonar,0,0.0,0.0,1.17999994755,0.777000010014
2020/05/26/19:42:13.339504,44,1590522133,59412240,sonar,0,0.0,0.0,1.15999996662,0.776000022888
2020/05/26/19:42:13.618174,45,1590522133,338919401,sonar,0,0.0,0.0,1.1590000391,0.811999976635
2020/05/26/19:42:13.896163,46,1590522133,617585897,sonar,0,0.0,0.0,1.2120000124,0.81400001049
2020/05/26/19:42:14.176509,47,1590522133,895664691,sonar,0,0.0,0.0,1.21500003338,0.815999984741
2020/05/26/19:42:14.452476,48,1590522134,176025867,sonar,0,0.0,0.0,1.21800005436,0.815999984741
2020/05/26/19:42:14.735039,49,1590522134,452532529,sonar,0,0.0,0.0,1.21800005436,0.823000013828
2020/05/26/19:42:15.013415,50,1590522134,735110998,sonar,0,0.0,0.0,1.22800004482,0.811999976635
2020/05/26/19:42:15.296243,51,1590522135,13579368,sonar,0,0.0,0.0,1.2120000124,0.822000026703
2020/05/26/19:42:15.575644,52,1590522135,296505928,sonar,0,0.0,0.0,1.22699999809,0.832000017166
2020/05/26/19:42:15.853322,53,1590522135,575320005,sonar,0,0.0,0.0,1.24199998379,0.852999985218
2020/05/26/19:42:16.135701,54,1590522135,852653980,sonar,0,0.0,0.0,1.27400004864,0.870000004768
2020/05/26/19:42:16.416473,55,1590522136,135257005,sonar,0,0.0,0.0,1.2990000248,0.90600001812
