time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.radiation_type,.field_of_view,.min_range,.max_range,.range
2020/05/27/12:40:49.711767,1,1590583249,435375452,sonar,0,0.0,0.0,1.58099997044,1.05900001526
2020/05/27/12:40:49.992619,2,1590583249,701624870,sonar,0,0.0,0.0,1.58099997044,1.05900001526
2020/05/27/12:40:50.274813,3,1590583249,988107204,sonar,0,0.0,0.0,1.58099997044,1.05900001526
2020/05/27/12:40:50.557671,4,1590583250,268387317,sonar,0,0.0,0.0,1.58099997044,1.05900001526
2020/05/27/12:40:50.848877,5,1590583250,552987813,sonar,0,0.0,0.0,1.58000004292,1.05900001526
2020/05/27/12:40:51.133304,6,1590583250,843526601,sonar,0,0.0,0.0,1.58000004292,1.05799996853
2020/05/27/12:40:51.410438,7,1590583251,132696390,sonar,0,0.0,0.0,1.58000004292,1.05799996853
2020/05/27/12:40:51.692134,8,1590583251,409584045,sonar,0,0.0,0.0,1.58000004292,1.05799996853
2020/05/27/12:40:51.981728,9,1590583251,691471576,sonar,0,0.0,0.0,1.57899999619,1.05799996853
2020/05/27/12:40:52.280567,10,1590583251,980996370,sonar,0,0.0,0.0,1.57899999619,1.05799996853
2020/05/27/12:40:52.556565,11,1590583252,272227525,sonar,0,0.0,0.0,1.57899999619,1.05700004101
2020/05/27/12:40:52.835938,12,1590583252,555828809,sonar,0,0.0,0.0,1.57899999619,1.05700004101
2020/05/27/12:40:53.119076,13,1590583252,835444927,sonar,0,0.0,0.0,1.57799994946,1.05700004101
2020/05/27/12:40:53.418499,14,1590583253,119139432,sonar,0,0.0,0.0,1.57799994946,1.05700004101
2020/05/27/12:40:53.694746,15,1590583253,415769577,sonar,0,0.0,0.0,1.57799994946,1.05700004101
2020/05/27/12:40:54.048971,16,1590583253,692141771,sonar,0,0.0,0.0,1.57799994946,1.05700004101
2020/05/27/12:40:54.260258,17,1590583254,42130470,sonar,0,0.0,0.0,1.57899999619,1.05799996853
2020/05/27/12:40:54.559027,18,1590583254,292255401,sonar,0,0.0,0.0,1.57899999619,1.05799996853
2020/05/27/12:40:54.832508,19,1590583254,559231519,sonar,0,0.0,0.0,1.57899999619,1.05799996853
2020/05/27/12:40:55.125030,20,1590583254,832684278,sonar,0,0.0,0.0,1.57899999619,1.05799996853
2020/05/27/12:40:55.401042,21,1590583255,125217199,sonar,0,0.0,0.0,1.57899999619,1.05799996853
2020/05/27/12:40:55.693797,22,1590583255,401196241,sonar,0,0.0,0.0,1.57899999619,1.05799996853
2020/05/27/12:40:55.970411,23,1590583255,692113161,sonar,0,0.0,0.0,1.57899999619,1.05799996853
2020/05/27/12:40:56.263211,24,1590583255,969741344,sonar,0,0.0,0.0,1.57899999619,1.05799996853
2020/05/27/12:40:56.546196,25,1590583256,262962341,sonar,0,0.0,0.0,1.57899999619,1.05799996853
2020/05/27/12:40:56.831100,26,1590583256,546368360,sonar,0,0.0,0.0,1.58000004292,1.05799996853
2020/05/27/12:40:57.119690,27,1590583256,831519603,sonar,0,0.0,0.0,1.58000004292,1.05799996853
2020/05/27/12:40:57.395742,28,1590583257,118280887,sonar,0,0.0,0.0,1.58000004292,1.05799996853
2020/05/27/12:40:57.682152,29,1590583257,395144462,sonar,0,0.0,0.0,1.58000004292,1.05799996853
2020/05/27/12:40:57.975566,30,1590583257,681885719,sonar,0,0.0,0.0,1.58000004292,1.05799996853
2020/05/27/12:40:58.258475,31,1590583257,971033334,sonar,0,0.0,0.0,1.58000004292,1.05799996853
2020/05/27/12:40:58.557232,32,1590583258,252635717,sonar,0,0.0,0.0,1.58000004292,1.05799996853
2020/05/27/12:40:58.840606,33,1590583258,555114746,sonar,0,0.0,0.0,1.58000004292,1.05799996853
2020/05/27/12:40:59.112620,34,1590583258,840311527,sonar,0,0.0,0.0,1.58000004292,1.05799996853
2020/05/27/12:40:59.393821,35,1590583259,112078905,sonar,0,0.0,0.0,1.58000004292,1.05799996853
2020/05/27/12:40:59.689768,36,1590583259,388528108,sonar,0,0.0,0.0,1.58000004292,1.05799996853
2020/05/27/12:40:59.957541,37,1590583259,695934057,sonar,0,0.0,0.0,1.58000004292,1.05799996853
2020/05/27/12:41:00.260695,38,1590583259,955042839,sonar,0,0.0,0.0,1.58000004292,1.05799996853
2020/05/27/12:41:00.553840,39,1590583260,260443687,sonar,0,0.0,0.0,1.57899999619,1.05799996853
2020/05/27/12:41:00.833160,40,1590583260,548416137,sonar,0,0.0,0.0,1.57899999619,1.05700004101
2020/05/27/12:41:01.102651,41,1590583260,832788467,sonar,0,0.0,0.0,1.57799994946,1.05700004101
2020/05/27/12:41:01.386921,42,1590583261,102435350,sonar,0,0.0,0.0,1.57700002193,1.05700004101
2020/05/27/12:41:01.673885,43,1590583261,387196302,sonar,0,0.0,0.0,1.57700002193,1.05599999428
2020/05/27/12:41:01.959382,44,1590583261,669957876,sonar,0,0.0,0.0,1.57700002193,1.05599999428
2020/05/27/12:41:02.240532,45,1590583261,959589481,sonar,0,0.0,0.0,1.5759999752,1.05499994755
2020/05/27/12:41:02.524544,46,1590583262,236654996,sonar,0,0.0,0.0,1.57400000095,1.05400002003
2020/05/27/12:41:02.819461,47,1590583262,523688554,sonar,0,0.0,0.0,1.57400000095,1.0529999733
2020/05/27/12:41:03.096187,48,1590583262,819721221,sonar,0,0.0,0.0,1.57299995422,1.0529999733
